K,rho,r_50,r_75,r_95
5,0.2,4.41147538523309,5.33115320042822,6.88896884467769
5,0.21,4.37005686316507,5.28509924816796,6.82523585030381
5,0.22,4.33107588951488,5.2321079744584,6.76467985927719
5,0.23,4.2916594550051,5.18505678608459,6.69972811460939
5,0.24,4.25180843852513,5.13434702273271,6.63051440634635
5,0.25,4.2115237018397,5.08317969264631,6.5644368531785
5,0.26,4.1681350714359,5.0346028503356,6.49777591327958
5,0.27,4.129656432047,4.97947657445491,6.43053264247008
5,0.28,4.08807554092904,4.92991224886258,6.36270807494479
5,0.29,4.04606421443171,4.87981785153934,6.294303223844
5,0.3,4.00362323532338,4.82630027443441,6.22531908180544
5,0.31,3.96075337179529,4.77518579160692,6.15911925076136
5,0.32,3.91745537783729,4.72072675713961,6.08893415958573
5,0.33,3.87372999360115,4.66859531512232,6.01817252483644
5,0.34,3.82717982556622,4.61593740276462,5.94683526290369
5,0.35,3.78263626115174,4.56005286188807,5.87492327216084
5,0.36,3.7399967004687,4.50638235513281,5.80557366359658
5,0.37,3.69456889193558,4.45218734433442,5.73246900057731
5,0.38,3.6487171982173,4.39746842317107,5.65879209035307
5,0.39,3.60021701708355,4.33968087702243,5.58754314858332
5,0.4,3.55355430734216,4.28395473173103,5.51267803767571
5,0.41,3.50646973646417,4.22770648814445,5.44015089640561
5,0.42,3.45896393401084,4.16850927364152,5.36410033638666
5,0.43,3.41103751876189,4.11125761738234,5.28748131573698
5,0.44,3.36269109897014,4.0534855685447,5.21306382188856
5,0.45,3.31392527260856,3.99288492649073,5.13798676699132
5,0.46,3.2647406276098,3.93411306664049,5.05957311473801
5,0.47,3.21708299662202,3.87482242109908,4.98322413742074
5,0.48,3.16702715127178,3.81501347128048,4.90621679046356
5,0.49,3.11655413126006,3.75468668894194,4.82855140245915
5,0.5,3.06566448712554,3.69173290596407,4.75022829127829
5,0.51,3.0143587604548,3.63041176694288,4.66880315460726
5,0.52,2.96440651400703,3.56857425344566,4.58921229719511
5,0.53,2.91050118228688,3.50622080033448,4.50896474337007
5,0.54,2.85795037097705,3.44335183388017,4.42575768818848
5,0.55,2.80664758314437,3.37996777195596,4.34424473852938
5,0.56,2.75323348222252,3.3160690242256,4.26207602877637
5,0.57,2.69940631313153,3.25165599232606,4.1792518075459
5,0.58,2.64516656055385,3.18672907004509,4.09365942897244
5,0.59,2.59051470166632,3.12128864349392,4.00957258695353
5,0.6,2.53545120629982,3.05533509127493,3.92483105882928
5,0.61,2.48142366347329,2.99053383317197,3.83943505839826
5,0.62,2.42550213214268,2.92189008767364,3.75530611880377
5,0.63,2.36779549267756,2.85439935739827,3.66855356485822
